ID,present,WC_alt,WC_bio1,WC_bio2,ER_climaticMoistureIndex,ER_topoWet,lon,lat
1927,1,237,28.799999237060547,13.600000381469727,-0.6899999976158142,12.75,2.686575,12.635979
1928,1,196,29.200000762939453,13.899999618530273,-0.75,13.34000015258789,2.905962,13.25089
1929,1,239,28.799999237060547,13.600000381469727,-0.6899999976158142,12.880000114440918,2.703662,12.685646
1930,1,251,28.700000762939453,13.600000381469727,-0.6899999976158142,13.449999809265137,2.606525,12.692482
1931,1,203,29.100000381469727,13.899999618530273,-0.7599999904632568,12.789999961853027,2.991814,13.348902
1932,1,1649,19.399999618530273,10.600000381469727,-0.4699999988079071,12.819999694824219,34.991699,-2.815781
1933,1,2249,14.5,10.300000190734863,0.05999999865889549,7.599999904632568,36.799719,-3.267615
1934,1,1130,21.399999618530273,12,-0.6000000238418579,13.65999984741211,37.246179,-2.640064
1935,1,1015,20.799999237060547,16,-0.7900000214576721,15.670000076293945,24.607289,-22.389987
1936,1,135,21.200000762939453,11.199999809265137,-0.4399999976158142,11.550000190734863,32.207834,-27.863966
1937,1,61,21.600000381469727,11,-0.41999998688697815,11.960000038146973,32.250102,-27.858784
1938,1,1010,21.899999618530273,15.699999809265137,-0.6899999976158142,14.529999732971191,22.462234,-17.982162
1939,1,1149,21.100000381469727,11.899999618530273,-0.550000011920929,11.720000267028809,37.311455,-2.698256
1940,1,1077,19.700000762939453,16.799999237060547,-0.9100000262260437,11.479999542236328,15.657502,-22.872723
1941,1,293,21.700000762939453,13.199999809265137,-0.5799999833106995,12.539999961853027,31.615419,-25.300036
1942,1,210,22.399999618530273,13.600000381469727,-0.6200000047683716,12.5600004196167,31.833968,-25.32481
1943,1,1103,17.899999618530273,17.100000381469727,-0.7599999904632568,12.449999809265137,24.320434,-29.000974
1944,1,678,23.299999237060547,9.100000381469727,-0.25,10.970000267028809,37.186103,-7.3428
